P0,Product0,58.095003453391726,48
P1,Product1,33.73496657362466,8
P2,Product2,52.44522092956724,29
P3,Product3,35.072665782888905,23
P4,Product4,49.08911347660103,3
P5,Product5,64.84525451089289,46
P6,Product6,88.18363184899725,14
P7,Product7,23.604160235731555,77
P8,Product8,65.25451764706503,70
P9,Product9,77.89280923105558,33
P10,Product10,81.93626608654742,44
P11,Product11,46.63305159221036,35
P12,Product12,95.09100140292485,98
P13,Product13,63.59009639112816,1
P14,Product14,83.88097450342094,56
P15,Product15,48.74972723140322,40
P16,Product16,64.4644576985414,96
P17,Product17,34.00217385574618,55
P18,Product18,61.44994371535795,23
P19,Product19,23.362754570230546,52
P20,Product20,78.69663418418877,90
P21,Product21,87.92008274083588,64
P22,Product22,25.542313452540313,51
P23,Product23,67.42347405356048,96
P24,Product24,27.057634943528768,90
P25,Product25,21.381442250218146,7
P26,Product26,76.13979545387093,83
P27,Product27,52.90603618141682,45
P28,Product28,63.50705212181238,64
P29,Product29,69.52628968780472,14
P30,Product30,10.32112378621853,63
P31,Product31,61.70240860568088,84
P32,Product32,13.293466643661581,78
P33,Product33,83.34235058051372,16
P34,Product34,91.33968206698476,13
P35,Product35,67.85647631539535,14
P36,Product36,63.23413317469479,42
P37,Product37,12.204955236361911,65
P38,Product38,84.71002785526574,44
P39,Product39,22.182761812449286,9
P40,Product40,79.16647885438512,70
P41,Product41,97.22006153732538,52
P42,Product42,61.07554212725211,70
P43,Product43,91.92045222868481,60
P44,Product44,62.66944204812238,4
P45,Product45,42.845769768044875,27
P46,Product46,67.65078078808725,34
P47,Product47,30.883078800161364,31
P48,Product48,49.14254961616913,34
P49,Product49,64.05338287724578,25
P50,Product50,21.11809603966915,9
P51,Product51,30.892756469628956,68
P52,Product52,74.62035404456876,18
P53,Product53,22.192258241041966,97
P54,Product54,77.59608613582904,57
P55,Product55,11.543519207227927,98
P56,Product56,91.1739145920995,91
P57,Product57,75.8860409950107,63
P58,Product58,86.49441053817479,24
P59,Product59,24.52315810245377,39
P60,Product60,22.76307418654244,63
P61,Product61,79.69766335568822,8
P62,Product62,78.25068106745613,99
P63,Product63,98.93238365276538,41
P64,Product64,70.27557580965325,2
P65,Product65,66.28683995559985,55
P66,Product66,23.854737376738342,3
P67,Product67,51.964005631679804,65
P68,Product68,87.0126135579974,49
P69,Product69,80.52046577944232,67
P70,Product70,11.166452200770195,98
P71,Product71,62.72598872732061,34
P72,Product72,62.81492227817516,24
P73,Product73,52.00101095713207,31
P74,Product74,78.00706967201468,30
P75,Product75,17.287845375977426,97
P76,Product76,55.597641045134566,17
P77,Product77,76.11187463706548,37
P78,Product78,80.25109202311528,43
P79,Product79,47.670547253030826,98
P80,Product80,75.47299104561641,16
P81,Product81,80.64697989549359,80
P82,Product82,89.28538938201311,19
P83,Product83,22.550331423942062,46
P84,Product84,16.553524412408834,44
P85,Product85,22.943307645633528,94
P86,Product86,63.572069098226,2
P87,Product87,30.06482553577059,63
P88,Product88,40.57993712479495,92
P89,Product89,11.06226689455449,77
P90,Product90,14.20853194199811,57
P91,Product91,94.04753330602703,98
P92,Product92,80.80975896324549,52
P93,Product93,56.70512927028764,57
P94,Product94,31.597452144506725,80
P95,Product95,21.11990676532446,68
P96,Product96,33.20894334300411,49
P97,Product97,49.27915797004919,75
P98,Product98,66.11519845378882,44
P99,Product99,72.7780809971221,73
